denumire,um,pret_livr,cod,imagine
DISC TAIERE 125X1.0X22,BUC,4.00,5949064156672,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DISC TAIERE 125X1.0X22 GEKA,BUC,4.00,101,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DISC TAIERE 125X1.6X22,BUC,5.00,214,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DISC TAIERE 125X1.6X22 GEKA,BUC,4.00,102,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DISC TAIERE 180X2.00MM KLINGSPOR,BUC,9.00,206,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DISC TAIERE 230X1.9X22 GEKA,BUC,10.00,103,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DISC TAIERE MOST 41 125X1.6X22,BUC,5.00,266,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DISC TAIERE MOST 41 230X1.9X22,BUC,12.00,264,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DISTANTIER CERAMIC CUT 50,BUC,5.00,194,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DUZA ANME 1 003-010MM,BUC,60.00,5999089125221,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DUZA ANME 2 010-025MM,BUC,60.00,5999089125238,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DUZA ANME 3 025-040MM,BUC,60.00,5999089125245,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DUZA ANME 4 040-060MM,BUC,60.00,5999089125252,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DUZA ANME 5 060-150MM,BUC,60.00,5999089125269,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DUZA ANME ACETILENA,BUC,60.00,175,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DUZA CERAMICA CUT 50,BUC,5.00,195,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DUZA CERAMICA NR 5/6/7 TIG/WIG,BUC,5.00,193,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DUZA CERAMICA PL.  CUT 100,BUC,12.00,203,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DUZA CONTACT 0.6MM X M6,BUC,5.00,283,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DUZA CONTACT 0.8  M8,BUC,6.00,285,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DUZA CONTACT 0.8MM X M6X28,BUC,5.00,284,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DUZA CONTACT 1.00MM  M6,BUC,5.00,287,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DUZA CONTACT 1.00MM  M8X30,BUC,7.00,286,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DUZA CONTACT 1.2MM  M8X30,BUC,7.00,288,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DUZA COOLEX NR 4 200-300,BUC,125.00,170,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DUZA CUPRU PL. CUT100,BUC,12.00,204,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DUZA CUPRU PLASMA CUT 60,BUC,10.00,201,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DUZA CUREN M6X25-0.9MM,BUC,2.50,5999089146219,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DUZA CURENT M6X0.9MM,BUC,5.00,121,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DUZA CURENT M6X25 -0.8MM,BUC,2.50,5999089121070,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DUZA CURENT M6X25 0.6MM,BUC,2.50,5999089134469,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DUZA CURENT M6X25-1.00MM,BUC,2.50,5999089121131,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DUZA CURENT M6X28-0.8MM,BUC,3.50,5999089121087,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DUZA CURENT M6X28-1.00MM,BUC,3.50,5999089121148,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DUZA CURENT M6X28-1.2MM,BUC,3.50,5999089121223,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DUZA CURENT M8X30-1.00MM,BUC,5.00,5999089121162,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DUZA CURENT M8X30-1.2MM,BUC,5.00,5999089121247,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DUZA GAZ CONICA MIG 511,BUC,40.00,213,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DUZA GAZ CONICA MIG-240,BUC,15.00,350,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DUZA GAZ CONICA PIST. 150A,BUC,12.00,199,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DUZA GAZ CONICA PIST. 360A,BUC,25.00,200,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DUZA GAZ CONICA PISTOLET 250A,BUC,15.00,198,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DUZA PLASMA CUT 50,BUC,6.00,197,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DUZA PNME 1 003-010MM,BUC,60.00,5999089125214,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DUZA PNME 25-40MM,BUC,70.00,171,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DUZA PNME 3 025-040MM,BUC,60.00,5999089125177,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DUZA PNME 40-60MM,BUC,70.00,187,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DUZA PNME 5 060-150MM,BUC,60.00,5999089125160,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DUZA PNME 60-150MM,BUC,100.00,188,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DUZA PNME2 010-025MM,BUC,60.00,5999089125207,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DUZA TAIERE OXI PROPAN SCR1 50-100MM,BUC,75.00,5999089125061,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
DUZA TAIERE OXI-PROPAN SCR2 50-100 MM,BUC,75.00,5999089125078,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
ELECTR. ABRAZIUNE SORMAIT 63 HRC 3.2X350MM,BUC,100.00,5949064171408,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
ELECTR.CUPRU FOSFOR CUP6 FARA AG.GAFLO CUP6,KG,150.00,289,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
ELECTROD PLASMA CUT 100,BUC,12.00,205,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
ELECTROD PLASMA CUT 50,BUC,7.00,196,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
ELECTROD WIG/TIG  WOLFRAM 2.4X175MM,BUC,20.00,124,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
ELECTROD WIG/TIG NEFUZIBIL WOLFRAM 1.6X175MM,BUC,12.00,5999089122831,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
ELECTROD WIG/TIG NEFUZIBIL WOLFRAM 1.6X175MM,BUC,12.00,5999089122695,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
ELECTROD WIG/TIG NEFUZIBIL WOLFRAM 2.00X175MM,BUC,16.00,5999089122848,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
ELECTROD WIG/TIG NEFUZIBIL WOLFRAM 2.4X175MM,BUC,22.00,5999089122855,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
ELECTROD WIG/TIG NEFUZIBIL WOLFRAM 2.4X175MM,BUC,22.00,5999089122718,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
ELECTROD WIG/TIG NEFUZIBIL WOLFRAM 2X175MM,BUC,16.00,5999089122701,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
ELECTROD WIG/TIG NEFUZIBIL WOLFRAM 3.2X175MM,BUC,32.00,5999089122862,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
ELECTROD WIG/TIG NEFUZIBIL WOLFRAM 3.2X175MM,BUC,32.00,5999089122725,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
ELECTROD WIG/TIG WOLFRAM 1.6X175MM,BUC,12.00,130,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
ELECTROZI AL 105 2.5X350 0.5KG,BUC,125.00,5949064171231,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
ELECTROZI AL 105 3.2X350 0.5KG,BUC,125.00,5949064171248,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
ELECTROZI BAZICI  7018 2.5X350 ENERGO,KG,20.00,236,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
ELECTROZI BAZICI 7018 2.5X350 ESAB,KG,25.00,232,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
ELECTROZI BAZICI 7018 3.2X350 ENERGO,KG,20.00,237,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
ELECTROZI BAZICI 7018 3.2X350 GEKA,KG,15.00,337,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
ELECTROZI BAZICI 7018 3.2X450 ESAB,KG,25.00,233,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
ELECTROZI FONTA 2.5X350MM 0.5KG,BUC,90.00,149,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
ELECTROZI FONTA NIFE-CL 2.5X350 0.5KG,BUC,130.00,5949064171354,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
ELECTROZI INCARCARE DURA 61 HRC 3.25X350 CAPILLA,KG,100.00,5949064824397,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
ELECTROZI INCARCARE DURA 65HRC 3.25X360 CAPILLA540,KG,140.00,5443064179988,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
ELECTROZI INOX 308 3.2X350,KG,125.00,134,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
ELECTROZI INOX 308 3.2X350,BUC,125.00,5949064171286,120-aparat-sudura-mm-iweld-gorilla-microforce-120-vrd-1-1000x1000.jpg
